ear_left,ear_right,ear_avg,mar,pitch,yaw,roll,perclos,blink_rate,label
0.0414,0.0486,0.045,0.0147,-9.175,7.2355,-4.7579,1.0,0.0,1
0.1939,0.2381,0.216,0.0328,6.0846,-11.4687,162.8026,1.0,0.0,2
0.0972,0.075,0.0861,0.5646,-13.9826,-3.0199,9.6121,1.0,0.0,1
0.2469,0.2448,0.2459,0.0029,-15.0985,1.2935,1.2609,0.0,0.0,1
0.2692,0.2666,0.2679,0.0053,19.5236,-7.2089,173.5097,0.0,0.0,0
0.1947,0.2249,0.2098,0.0296,34.497,34.4116,-161.7631,1.0,0.0,2
0.1387,0.0798,0.1092,0.0159,26.9146,20.7795,176.2279,1.0,0.0,1
0.302,0.1749,0.2384,0.0033,25.6307,-40.212,168.0788,0.0,0.0,2
0.1554,0.1098,0.1326,0.0028,-32.9189,0.7825,3.8032,1.0,0.0,0
0.2701,0.2547,0.2624,0.0138,21.9019,-2.0457,-171.9164,0.0,0.0,0
0.2763,0.2607,0.2685,0.0146,-13.3587,-2.6777,-4.1465,0.0,0.0,1
0.1782,0.1854,0.1818,0.0026,20.4004,1.5717,-0.9979,1.0,0.0,0
0.1533,0.1232,0.1383,0.1303,-19.5742,-10.2901,1.9081,1.0,0.0,1
0.3337,0.2841,0.3089,0.0181,36.7687,27.4199,-171.7356,0.0,0.0,2
0.18,0.2024,0.1912,0.0034,14.1691,-0.2718,177.5814,1.0,0.0,1
0.1264,0.1857,0.156,0.02,73.4714,7.221,170.5859,1.0,0.0,2
0.1402,0.1283,0.1342,0.0446,-49.11,-0.2204,1.3224,1.0,0.0,2
0.0604,0.0875,0.074,0.0124,50.3023,-2.0821,171.1258,1.0,0.0,0
0.5035,0.3981,0.4508,0.0079,27.5417,-36.0958,172.8944,0.0,0.0,0
0.1565,0.2211,0.1888,0.0269,35.4577,35.7472,-162.3819,1.0,0.0,2
0.0677,0.1329,0.1003,0.132,2.6953,45.9798,-176.0792,1.0,0.0,2
0.2351,0.2182,0.2266,0.0012,14.739,-2.3832,177.2303,0.0,0.0,1
0.1819,0.2002,0.1911,0.0205,-45.718,2.5638,4.1454,1.0,0.0,0
0.1438,0.2108,0.1773,0.003,-7.717,4.0988,-4.2291,1.0,0.0,1
0.0259,0.0353,0.0306,0.0019,10.3235,-1.334,1.3577,1.0,0.0,1
0.1529,0.1486,0.1508,0.0067,-43.1138,4.1983,2.2615,1.0,0.0,0
0.2868,0.279,0.2829,0.1564,24.8934,0.084,179.7385,0.0,0.0,0
0.6176,0.3564,0.487,0.0099,-29.0373,-69.1021,-154.4918,0.0,0.0,2
0.1364,0.0726,0.1045,0.0239,-16.3243,0.9795,-2.644,1.0,0.0,1
0.2255,0.2878,0.2566,0.0176,23.3092,-1.5371,-155.9101,0.0,0.0,2
0.17,0.153,0.1615,0.0039,27.2794,-0.3995,4.4094,1.0,0.0,0
0.4013,0.395,0.3981,0.0209,26.7822,-6.2544,179.4154,0.0,0.0,0
0.2715,0.2711,0.2713,0.4752,-24.2479,1.9291,-1.473,0.0,0.0,1
0.467,0.2924,0.3797,0.1839,13.4169,-14.5683,43.4945,0.0,0.0,2
0.3768,0.311,0.3439,0.0215,19.0403,-16.095,173.6672,0.0,0.0,0
0.494,0.3839,0.4389,0.0145,27.4491,-39.0732,174.4368,0.0,0.0,2
0.3268,0.1793,0.2531,0.0089,50.7337,-21.9114,150.323,0.0,0.0,2
0.3187,0.2936,0.3061,0.0092,20.9461,-13.5395,168.9071,0.0,0.0,2
0.1167,0.0793,0.098,0.0068,-47.4393,1.0525,4.7395,1.0,0.0,0
0.2223,0.2258,0.224,0.0094,-11.9343,-3.4047,-1.072,0.0,0.0,1
0.2823,0.3017,0.292,0.0225,23.5486,29.6287,-170.546,0.0,0.0,0
0.1086,0.1685,0.1385,0.0033,17.8288,3.2533,-178.1618,1.0,0.0,1
0.4961,0.3255,0.4108,0.1206,14.121,-57.0268,174.2582,0.0,0.0,2
0.0652,0.0536,0.0594,0.0627,-9.9173,-1.0965,0.3556,1.0,0.0,1
0.1327,0.0891,0.1109,0.0046,31.5545,-4.5833,5.1722,1.0,0.0,0
0.2607,0.2576,0.2592,0.0052,23.6191,-0.8831,-179.3145,0.0,0.0,0
0.251,0.1386,0.1948,0.4929,-0.8396,38.771,-9.2511,1.0,0.0,2
0.682,0.312,0.497,0.1672,-4.8077,-42.3337,14.1799,0.0,0.0,2
0.2807,0.303,0.2919,0.0076,15.3498,5.5212,-175.4305,0.0,0.0,0
0.061,0.0623,0.0616,0.0054,-12.9356,-2.0568,2.1387,1.0,0.0,1
0.2422,0.2526,0.2474,0.0126,-26.2297,3.3996,-5.0561,0.0,0.0,1
0.246,0.2377,0.2419,0.3895,-11.8719,-4.0173,3.6377,0.0,0.0,1
0.2157,0.2102,0.213,0.0041,-8.1112,-4.273,0.9205,1.0,0.0,1
0.417,0.3962,0.4066,0.2687,23.9678,-25.6322,165.655,0.0,0.0,0
0.0779,0.1185,0.0982,0.008,20.588,1.7782,-12.7428,1.0,0.0,2
0.289,0.2893,0.2892,0.0027,19.9163,-0.2874,178.5859,0.0,0.0,0
0.214,0.2348,0.2244,0.0066,-5.3529,4.0419,1.7507,0.0,0.0,1
0.1138,0.1523,0.133,0.016,26.2186,0.955,-166.6865,1.0,0.0,0
0.0819,0.1202,0.1011,0.0027,14.0229,2.2295,173.2416,1.0,0.0,1
0.2424,0.2912,0.2668,0.0214,-4.2098,42.3317,176.6334,0.0,0.0,2
0.4042,0.4316,0.4179,0.0219,-6.1417,41.7505,175.3118,0.0,0.0,2
0.2914,0.2473,0.2694,0.0375,40.0778,-28.6166,-169.6773,0.0,0.0,2
0.1585,0.1298,0.1441,0.011,-48.1571,-3.7017,-0.6898,1.0,0.0,2
0.3797,0.447,0.4133,0.0302,5.6596,46.4267,-175.0654,0.0,0.0,0
0.3009,0.3083,0.3046,0.0524,-2.4641,35.8827,179.0639,0.0,0.0,2
0.3258,0.3345,0.3301,0.0022,-9.6105,4.0543,-1.6712,0.0,0.0,0
0.2192,0.1869,0.203,0.0039,27.156,-10.3169,169.3998,1.0,0.0,1
0.2802,0.2179,0.249,0.0745,3.5951,40.978,2.2653,0.0,0.0,0
0.1198,0.1248,0.1223,0.0039,-45.7538,2.066,12.5197,1.0,0.0,0
0.2054,0.1593,0.1824,0.0192,-18.9099,-1.5638,-0.3419,1.0,0.0,0
0.2507,0.1513,0.201,0.0114,20.3282,-33.8264,175.6748,1.0,0.0,2
0.4613,0.39,0.4256,0.0592,12.173,35.9147,-175.1247,0.0,0.0,2
0.4107,0.3756,0.3931,0.0062,26.8124,-26.2792,166.3988,0.0,0.0,0
0.3272,0.354,0.3406,0.0042,-14.0045,10.8488,-5.03,0.0,0.0,0
0.2828,0.2887,0.2858,0.5747,-16.605,-0.141,-2.2816,0.0,0.0,1
0.5849,0.3543,0.4696,0.0721,-6.3638,-46.6238,11.4244,0.0,0.0,2
0.1161,0.046,0.081,0.01,12.003,-12.8264,-179.8394,1.0,0.0,1
0.0811,0.0762,0.0787,0.0232,21.1854,-1.3928,-7.4819,1.0,0.0,0
0.4123,0.4105,0.4114,0.0906,23.9843,-24.1793,167.2915,0.0,0.0,0
0.1202,0.1273,0.1238,0.0073,17.3654,3.649,7.0677,1.0,0.0,0
0.208,0.2212,0.2146,0.0042,-11.8369,-3.5078,-2.6286,1.0,0.0,1
0.475,0.3309,0.4029,0.0318,46.2195,-55.3461,179.9523,0.0,0.0,2
0.2551,0.2384,0.2467,0.039,32.5757,-15.7259,-166.3226,0.0,0.0,2
0.1701,0.132,0.1511,0.0044,29.7873,-16.9742,174.1862,1.0,0.0,1
0.4493,0.4539,0.4516,0.0704,23.1627,27.6155,-158.8852,0.0,0.0,0
0.1483,0.1321,0.1402,0.037,-44.8466,-1.068,-0.8877,1.0,0.0,2
0.3817,0.218,0.2999,0.0189,32.6527,-49.3337,-176.5938,0.0,0.0,2
0.3829,0.3967,0.3898,0.0219,19.4114,28.4936,-164.3467,0.0,0.0,0
0.2235,0.2444,0.2339,0.0284,25.3541,8.1251,-162.0304,0.0,0.0,2
0.5491,0.3896,0.4693,0.0321,-10.9326,-42.0307,40.011,0.0,0.0,2
0.3296,0.3459,0.3378,0.0038,18.7173,6.2117,-173.1759,0.0,0.0,0
0.2808,0.3124,0.2966,0.0031,14.4811,7.5007,178.5712,0.0,0.0,1
0.246,0.2377,0.2419,0.3895,-11.8719,-4.0173,3.6377,0.0,0.0,1
0.3932,0.2619,0.3275,0.0116,33.2228,-45.3242,-171.3824,0.0,0.0,2
0.4855,0.442,0.4637,0.1116,8.4675,-38.521,179.6739,0.0,0.0,2
0.2112,0.2164,0.2138,0.0046,-8.288,-6.6076,3.9784,1.0,0.0,1
0.1657,0.1844,0.175,0.0036,20.0766,1.3072,2.8524,1.0,0.0,0
0.3582,0.3177,0.3379,0.0084,29.3588,14.5775,-147.0543,0.0,0.0,2
0.4271,0.4507,0.4389,0.0155,23.3843,26.6891,-171.4467,0.0,0.0,0
0.1443,0.1681,0.1562,0.0036,23.5704,-6.0484,170.6719,1.0,0.0,1
0.4851,0.3797,0.4324,0.0235,33.4802,-34.862,166.8163,0.0,0.0,0
0.4236,0.3772,0.4004,0.0087,20.8566,-28.202,160.2252,0.0,0.0,0
0.3161,0.2014,0.2587,0.0311,-27.3572,-20.8472,3.6849,0.0,0.0,2
0.4193,0.4071,0.4132,0.0132,29.2054,8.9805,-169.0695,0.0,0.0,0
0.0255,0.0379,0.0317,0.0246,-9.186,0.156,-0.1686,1.0,0.0,1
0.2103,0.2135,0.2119,0.0088,-14.6419,2.4522,2.7282,1.0,0.0,1
0.1327,0.0553,0.094,0.0187,19.7014,-7.5051,175.5975,1.0,0.0,1
0.4376,0.3162,0.3769,0.0314,22.1613,-48.6794,-161.9168,0.0,0.0,2
0.4582,0.2534,0.3558,0.0106,-16.9995,-63.992,-161.7677,0.0,0.0,2
0.3334,0.268,0.3007,0.0714,21.2945,-19.2543,-149.9905,0.0,0.0,2
0.2104,0.1603,0.1853,0.0447,19.469,-26.8246,169.3335,1.0,0.0,2
0.0443,0.0362,0.0402,0.0755,-9.8825,-0.7172,0.8617,1.0,0.0,1
0.2487,0.2543,0.2515,0.408,-22.9664,-0.6971,0.2804,0.0,0.0,1
0.2649,0.2155,0.2402,0.0057,22.7987,10.6498,-174.3618,0.0,0.0,2
0.2657,0.3319,0.2988,0.0467,13.9516,14.8116,-145.2954,0.0,0.0,0
0.57,0.2573,0.4136,0.0263,0.6079,-43.0097,4.4306,0.0,0.0,2
0.2366,0.2591,0.2478,0.0009,-12.7156,11.2621,-8.0544,0.0,0.0,1
0.2288,0.2162,0.2225,0.0145,-23.054,-0.1454,-1.7454,0.0,0.0,1
0.2487,0.2436,0.2462,0.0056,14.461,-0.5106,-178.4397,0.0,0.0,1
0.1547,0.0841,0.1194,0.0042,21.9633,-14.9997,8.2422,1.0,0.0,2
0.0409,0.0406,0.0408,0.004,0.9122,1.8916,-3.2509,1.0,0.0,1
0.554,0.3908,0.4724,0.3016,-8.822,-59.4236,-165.8781,0.0,0.0,2
0.4603,0.4926,0.4764,0.0092,18.103,25.0027,-161.1859,0.0,0.0,0
0.3141,0.1997,0.2569,0.0291,4.4007,-13.9005,57.8217,0.0,0.0,2
0.2962,0.153,0.2246,0.5599,15.8125,-25.217,-177.2944,0.0,0.0,1
1.1436,0.2464,0.695,0.262,-1.3054,-48.5353,-2.0428,0.0,0.0,2
0.3153,0.3274,0.3214,0.0038,16.2131,1.7901,-175.302,0.0,0.0,0
0.2618,0.2871,0.2744,0.0324,15.1381,-21.1277,169.9473,0.0,0.0,2
0.7773,0.257,0.5172,0.3173,23.5158,-80.9549,144.7569,0.0,0.0,2
0.234,0.2239,0.229,0.009,-16.1932,1.0244,-0.4817,0.0,0.0,1
0.1478,0.158,0.1529,0.0087,-35.3307,2.6784,-4.2691,1.0,0.0,1
0.0773,0.0872,0.0823,0.0766,-26.3462,-4.5907,4.8517,1.0,0.0,1
0.2827,0.2649,0.2738,0.0012,-22.0824,-0.3542,2.303,0.0,0.0,0
0.3154,0.3144,0.3149,0.0028,15.3989,0.4263,-178.1794,0.0,0.0,0
0.3658,0.3738,0.3698,0.0187,-3.0868,-38.6946,-175.9626,0.0,0.0,2
0.2206,0.186,0.2033,0.0056,-12.2153,8.0579,-3.9323,1.0,0.0,1
0.4083,0.3812,0.3948,0.0082,13.8471,24.8313,-173.8051,0.0,0.0,0
0.3731,0.3601,0.3666,0.017,34.7303,-14.0049,-160.4591,0.0,0.0,2
0.1253,0.0641,0.0947,0.0029,15.8861,-3.5668,4.9413,1.0,0.0,0
0.1871,0.2183,0.2027,0.4527,7.4645,-35.4792,-0.7144,1.0,0.0,2
0.1175,0.1161,0.1168,0.0077,-18.1138,7.2452,-5.6496,1.0,0.0,1
0.0372,0.0265,0.0319,0.0081,-50.1254,-2.0068,2.8464,1.0,0.0,2
0.1734,0.1611,0.1673,0.0566,-28.2547,-0.2152,1.0131,1.0,0.0,1
0.0897,0.1736,0.1316,0.0074,24.914,16.3505,-154.8466,1.0,0.0,1
0.2284,0.2219,0.2251,0.0048,-3.9414,-5.3462,4.5808,0.0,0.0,1
0.4255,0.3596,0.3926,0.1185,33.7504,19.3822,-138.6519,0.0,0.0,2
0.2266,0.2297,0.2281,0.0047,-12.4677,-3.6766,-0.9911,0.0,0.0,1
0.3925,0.354,0.3732,0.0205,26.7732,-27.3485,173.2153,0.0,0.0,2
0.3347,0.3396,0.3371,0.0064,22.2979,0.9521,176.9236,0.0,0.0,0
0.1708,0.2067,0.1888,0.0718,33.9867,33.5329,-160.2373,1.0,0.0,2
0.2758,0.3375,0.3067,0.0044,22.8046,-20.8641,-163.7858,0.0,0.0,2
0.0694,0.0862,0.0778,0.0814,-27.2953,-4.1415,4.8079,1.0,0.0,1
0.2376,0.2288,0.2332,0.0299,-17.2653,4.9775,-1.0289,0.0,0.0,1
0.115,0.1299,0.1224,0.0101,-41.6651,2.234,-1.8673,1.0,0.0,0
0.1167,0.0808,0.0988,0.0635,-49.6458,-3.3947,0.9896,1.0,0.0,2
0.0621,0.0757,0.0689,0.0009,23.6636,3.8768,-5.2002,1.0,0.0,0
0.3456,0.3593,0.3525,0.4013,-26.9906,27.1803,-11.5522,0.0,0.0,2
0.3308,0.1343,0.2325,0.0078,26.7206,-36.208,163.3523,0.0,0.0,2
0.1993,0.2089,0.2041,0.3556,2.795,35.6034,-179.5046,1.0,0.0,2
0.164,0.2086,0.1863,0.0524,-15.9242,22.8683,177.528,1.0,0.0,0
0.164,0.1471,0.1555,0.0201,-23.1555,-32.3628,173.3526,1.0,0.0,2
0.3853,0.3727,0.379,0.4439,4.9094,39.8147,-5.1136,0.0,0.0,2
0.1366,0.1253,0.1309,0.0084,56.036,2.0125,-176.6411,1.0,0.0,0
0.2849,0.3063,0.2956,0.0456,14.4746,-19.9635,169.0703,0.0,0.0,2
0.256,0.121,0.1885,0.0386,40.6154,-37.6405,161.0449,1.0,0.0,2
0.3424,0.4434,0.3929,0.0277,28.4216,-40.3794,-175.2025,0.0,0.0,2
0.2537,0.2353,0.2445,0.0778,-15.3134,-4.1387,6.0231,0.0,0.0,1
0.2817,0.2564,0.269,0.0113,16.5015,-34.8626,-149.5861,0.0,0.0,2
